,movie name,actors,rating,year,director
239,Contratiempo,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",8.01,2016,Oriol Paulo
240,Drishyam,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",8.01,2015,Nishikant Kamat
241,The Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.01,1984,James Cameron
242,Ace in the Hole,"Billy Wilder (dir.), Kirk Douglas, Jan Sterling",8.01,1951,Billy Wilder
243,Kis Uykusu,"Nuri Bilge Ceylan (dir.), Haluk Bilginer, Melisa Sözen",8.01,2014,Nuri Bilge Ceylan
244,Butch Cassidy and the Sundance Kid,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.01,1969,George Roy Hill
245,Lagaan: Once Upon a Time in India,"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav",8.01,2001,Ashutosh Gowariker
246,Aladdin,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.01,1992,Ron Clements
247,Akira,"Katsuhiro Ôtomo (dir.), Mitsuo Iwata, Nozomu Sasaki",8.01,1988,Katsuhiro Ôtomo
248,Trois couleurs: Rouge,"Krzysztof Kieslowski (dir.), Irène Jacob, Jean-Louis Trintignant",8.01,1994,Krzysztof Kieslowski
249,PK,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma",8.01,2014,Rajkumar Hirani
