,movie name,actors,rating,year,director
54,Memento,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.42,2000,Christopher Nolan
55,Raiders of the Lost Ark,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.42,1981,Steven Spielberg
56,The Great Dictator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.41,1940,Charles Chaplin
57,The Lives of Others,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.39,2006,Florian Henckel von Donnersmarck
58,Django Unchained,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.39,2012,Quentin Tarantino
59,Paths of Glory,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.37,1957,Stanley Kubrick
60,The Shining,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.37,1980,Stanley Kubrick
61,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.37,2018,Anthony Russo
62,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.37,2008,Andrew Stanton
63,Sunset Blvd.,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.36,1950,Billy Wilder
64,Spider-Man: Into the Spider-Verse,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.36,2018,Bob Persichetti
65,Mononoke-hime,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.35,1997,Hayao Miyazaki
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.35,1964,Stanley Kubrick
67,Oldeuboi,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",8.35,2003,Chan-wook Park
68,Witness for the Prosecution,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.35,1957,Billy Wilder
69,Anand,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan",8.34,1971,Hrishikesh Mukherjee
70,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.34,2019,Anthony Russo
71,The Dark Knight Rises,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.34,2012,Christopher Nolan
72,Once Upon a Time in America,"Sergio Leone (dir.), Robert De Niro, James Woods",8.33,1984,Sergio Leone
73,Aliens,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.33,1986,James Cameron
74,Kimi no na wa.,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.32,2016,Makoto Shinkai
75,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.31,2017,Lee Unkrich
76,American Beauty,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.31,1999,Sam Mendes
77,Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,1995,Mel Gibson
78,Das Boot,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,1981,Wolfgang Petersen
79,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3,2009,Rajkumar Hirani
80,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.29,1995,John Lasseter
81,Tengoku to jigoku,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.29,1963,Akira Kurosawa
82,Taare Zameen Par,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.29,2007,Aamir Khan
83,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.29,2019,Sam Mendes
84,Star Wars: Episode VI - Return of the Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.29,1983,Richard Marquand
85,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.29,1984,Milos Forman
86,Reservoir Dogs,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.28,1992,Quentin Tarantino
87,Inglourious Basterds,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.28,2009,Quentin Tarantino
88,Good Will Hunting,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.28,1997,Gus Van Sant
89,2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.27,1968,Stanley Kubrick
90,Vertigo,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.27,1958,Alfred Hitchcock
91,Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.27,2000,Darren Aronofsky
92,M - Eine Stadt sucht einen Mörder,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.27,1931,Fritz Lang
93,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.26,2016,Nitesh Tiwari
94,Eternal Sunshine of the Spotless Mind,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.26,2004,Michel Gondry
95,Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.26,1941,Orson Welles
96,Capharnaüm,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.26,2018,Nadine Labaki
97,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.26,2012,Thomas Vinterberg
98,Full Metal Jacket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.25,1987,Stanley Kubrick
99,North by Northwest,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.25,1959,Alfred Hitchcock
100,A Clockwork Orange,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.25,1971,Stanley Kubrick
101,Ladri di biciclette,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.25,1948,Vittorio De Sica
102,The Kid,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.25,1921,Charles Chaplin
103,Snatch,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.25,2000,Guy Ritchie
104,Singin' in the Rain,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.24,1952,Stanley Donen
105,Scarface,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.24,1983,Brian De Palma
106,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.24,1976,Martin Scorsese
107,Amélie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.24,2001,Jean-Pierre Jeunet
108,Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.24,1962,David Lean
109,The Sting,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.24,1973,George Roy Hill
110,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.24,2010,Lee Unkrich
111,Metropolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.23,1927,Fritz Lang
112,Ikiru,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.23,1952,Akira Kurosawa
113,Per qualche dollaro in più,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.23,1965,Sergio Leone
114,Jodaeiye Nader az Simin,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.23,2011,Asghar Farhadi
115,Double Indemnity,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.22,1944,Billy Wilder
116,The Apartment,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.22,1960,Billy Wilder
117,Incendies,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.22,2010,Denis Villeneuve
118,To Kill a Mockingbird,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.22,1962,Robert Mulligan
119,Indiana Jones and the Last Crusade,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.21,1989,Steven Spielberg
120,Up,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.21,2009,Pete Docter
121,L.A. Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.21,1997,Curtis Hanson
122,Heat,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.2,1995,Michael Mann
123,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.2,1975,Terry Gilliam
124,Die Hard,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.19,1988,John McTiernan
125,Rashômon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.19,1950,Akira Kurosawa
126,Yôjinbô,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.19,1961,Akira Kurosawa
127,Batman Begins,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.19,2005,Christopher Nolan
128,Idi i smotri,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.19,1985,Elem Klimov
129,Green Book,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.19,2018,Peter Farrelly
130,Bacheha-Ye aseman,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.19,1997,Majid Majidi
131,Der Untergang,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.19,2004,Oliver Hirschbiegel
132,Unforgiven,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.18,1992,Clint Eastwood
133,Some Like It Hot,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.18,1959,Billy Wilder
134,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.17,1985,Akira Kurosawa
135,Hauru no ugoku shiro,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.17,2004,Hayao Miyazaki
136,The Great Escape,"John Sturges (dir.), Steve McQueen, James Garner",8.16,1963,John Sturges
137,All About Eve,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.16,1950,Joseph L. Mankiewicz
138,A Beautiful Mind,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.16,2001,Ron Howard
139,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.16,1995,Martin Scorsese
140,Pan's Labyrinth,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.16,2006,Guillermo del Toro
141,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.15,2009,Juan José Campanella
142,Tonari no Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.15,1988,Hayao Miyazaki
143,The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.15,2013,Martin Scorsese
144,"Lock, Stock and Two Smoking Barrels","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.15,1998,Guy Ritchie
145,Raging Bull,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.15,1980,Martin Scorsese
146,The Treasure of the Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.14,1948,John Huston
147,Judgment at Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.14,1961,Stanley Kramer
148,There Will Be Blood,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.14,2007,Paul Thomas Anderson
149,Babam ve Oglum,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.14,2005,Çagan Irmak
150,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.13,2017,Martin McDonagh
151,The Gold Rush,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.13,1925,Charles Chaplin
152,Dial M for Murder,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.13,1954,Alfred Hitchcock
153,Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.13,1974,Roman Polanski
154,V for Vendetta,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.13,2005,James McTeigue
155,Det sjunde inseglet,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.13,1957,Ingmar Bergman
156,No Country for Old Men,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.12,2007,Ethan Coen
157,Inside Out,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.12,2015,Pete Docter
158,Warrior,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.12,2011,Gavin O'Connor
159,Shutter Island,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.12,2010,Martin Scorsese
160,Trainspotting,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.12,1996,Danny Boyle
161,The Elephant Man,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.12,1980,David Lynch
162,The Sixth Sense,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.11,1999,M. Night Shyamalan
163,The Thing,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.11,1982,John Carpenter
164,Gone with the Wind,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.11,1939,Victor Fleming
165,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.11,2015,Lenny Abrahamson
166,Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.11,1993,Steven Spielberg
167,Smultronstället,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.11,1957,Ingmar Bergman
168,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.11,1982,Ridley Scott
169,The Bridge on the River Kwai,"David Lean (dir.), William Holden, Alec Guinness",8.1,1957,David Lean
170,Finding Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.1,2003,Andrew Stanton
171,Stalker,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.1,1979,Andrei Tarkovsky
172,On the Waterfront,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.1,1954,Elia Kazan
173,The Third Man,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.1,1949,Carol Reed
174,Fargo,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.1,1996,Joel Coen
175,The Truman Show,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.1,1998,Peter Weir
176,Kill Bill: Vol. 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.1,2003,Quentin Tarantino
177,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1,2008,Clint Eastwood
